reservationID,bundleID,purchaserID,reservationStatus,claimCode,reservationDate,weatherCondition
86,85,56,no-show,COM2020_086,2025-07-15,Cloudy
87,87,57,no-show,COM2020_087,2025-07-15,Rain
88,87,58,no-show,COM2020_088,2025-07-15,Sunny
89,89,59,no-show,COM2020_089,2025-07-15,Cloudy
90,89,60,no-show,COM2020_090,2025-07-15,Rain
91,91,31,no-show,COM2020_091,2025-08-15,Sunny
92,91,32,no-show,COM2020_092,2025-08-15,Cloudy
93,93,33,no-show,COM2020_093,2025-08-15,Rain
94,93,34,no-show,COM2020_094,2025-08-15,Sunny
95,95,35,no-show,COM2020_095,2025-08-15,Cloudy
96,95,36,no-show,COM2020_096,2025-08-15,Rain
97,97,37,no-show,COM2020_097,2025-08-15,Sunny
98,97,38,no-show,COM2020_098,2025-08-15,Cloudy
99,99,39,no-show,COM2020_099,2025-08-15,Rain
100,99,40,no-show,COM2020_100,2025-08-15,Sunny
101,101,41,cancelled,COM2020_101,2025-09-15,Cloudy
102,101,42,cancelled,COM2020_102,2025-09-15,Rain
103,103,43,cancelled,COM2020_103,2025-09-15,Sunny
104,103,44,cancelled,COM2020_104,2025-09-15,Cloudy
105,105,45,cancelled,COM2020_105,2025-09-15,Rain
106,105,46,cancelled,COM2020_106,2025-09-15,Sunny
107,107,47,cancelled,COM2020_107,2025-09-15,Cloudy
108,107,48,cancelled,COM2020_108,2025-09-15,Rain
109,109,49,cancelled,COM2020_109,2025-09-15,Sunny
110,109,50,cancelled,COM2020_110,2025-09-15,Cloudy
111,111,51,cancelled,COM2020_111,2025-09-15,Rain
112,111,52,cancelled,COM2020_112,2025-09-15,Sunny
113,113,53,cancelled,COM2020_113,2025-09-15,Cloudy
114,113,54,cancelled,COM2020_114,2025-09-15,Rain
115,115,55,cancelled,COM2020_115,2025-09-15,Sunny
116,115,56,cancelled,COM2020_116,2025-09-15,Cloudy
117,117,57,cancelled,COM2020_117,2025-09-15,Rain
118,117,58,cancelled,COM2020_118,2025-09-15,Sunny
119,119,59,cancelled,COM2020_119,2025-09-15,Cloudy
120,119,60,cancelled,COM2020_120,2025-09-15,Rain
121,121,31,cancelled,COM2020_121,2025-09-15,Sunny
122,121,32,cancelled,COM2020_122,2025-09-15,Cloudy
123,123,33,cancelled,COM2020_123,2025-09-15,Rain
124,123,34,cancelled,COM2020_124,2025-09-15,Sunny
125,125,35,cancelled,COM2020_125,2025-09-15,Cloudy
126,125,36,cancelled,COM2020_126,2025-09-15,Rain
127,127,37,cancelled,COM2020_127,2025-09-15,Sunny
128,127,38,cancelled,COM2020_128,2025-09-15,Cloudy
129,129,39,cancelled,COM2020_129,2025-09-15,Rain
130,129,40,cancelled,COM2020_130,2025-09-15,Sunny
131,131,41,cancelled,COM2020_131,2025-09-15,Cloudy
132,131,42,cancelled,COM2020_132,2025-10-15,Rain
133,133,43,cancelled,COM2020_133,2025-10-15,Sunny
134,133,44,cancelled,COM2020_134,2025-10-15,Cloudy
135,135,45,cancelled,COM2020_135,2025-10-15,Rain
136,135,46,cancelled,COM2020_136,2025-10-15,Sunny
137,137,47,cancelled,COM2020_137,2025-10-15,Cloudy
138,137,48,cancelled,COM2020_138,2025-10-15,Rain
139,139,49,cancelled,COM2020_139,2025-10-15,Sunny
140,139,50,cancelled,COM2020_140,2025-10-15,Cloudy
141,141,51,cancelled,COM2020_141,2025-10-15,Rain
142,141,52,cancelled,COM2020_142,2025-10-15,Sunny
143,143,53,cancelled,COM2020_143,2025-10-15,Cloudy
144,143,54,cancelled,COM2020_144,2025-10-15,Rain
145,145,55,cancelled,COM2020_145,2025-10-15,Sunny
146,145,56,cancelled,COM2020_146,2025-10-15,Cloudy
147,147,57,cancelled,COM2020_147,2025-10-15,Rain
148,147,58,cancelled,COM2020_148,2025-10-15,Sunny
149,149,59,cancelled,COM2020_149,2025-10-15,Cloudy
150,149,60,cancelled,COM2020_150,2025-10-15,Rain
151,151,31,cancelled,COM2020_151,2025-10-15,Sunny
152,151,32,cancelled,COM2020_152,2025-10-15,Cloudy
153,153,33,cancelled,COM2020_153,2025-10-15,Rain
154,153,34,cancelled,COM2020_154,2025-10-15,Sunny
155,155,35,cancelled,COM2020_155,2025-10-15,Cloudy
156,155,36,cancelled,COM2020_156,2025-10-15,Rain
157,157,37,cancelled,COM2020_157,2025-10-15,Sunny
158,157,38,cancelled,COM2020_158,2025-10-15,Cloudy
159,159,39,cancelled,COM2020_159,2025-10-15,Rain
160,159,40,cancelled,COM2020_160,2025-10-15,Sunny
161,161,41,cancelled,COM2020_161,2025-11-15,Cloudy
162,161,42,cancelled,COM2020_162,2025-11-15,Rain
163,163,43,cancelled,COM2020_163,2025-11-15,Sunny
164,163,44,cancelled,COM2020_164,2025-11-15,Cloudy
165,165,45,cancelled,COM2020_165,2025-11-15,Rain
166,165,46,cancelled,COM2020_166,2025-11-15,Sunny
167,167,47,cancelled,COM2020_167,2025-11-15,Cloudy
168,167,48,cancelled,COM2020_168,2025-11-15,Rain
169,169,49,cancelled,COM2020_169,2025-11-15,Sunny
170,169,50,cancelled,COM2020_170,2025-11-15,Cloudy
171,171,51,cancelled,COM2020_171,2025-11-15,Rain
172,171,52,cancelled,COM2020_172,2025-11-15,Sunny
173,173,53,cancelled,COM2020_173,2025-11-15,Cloudy
174,173,54,cancelled,COM2020_174,2025-11-15,Rain
175,175,55,cancelled,COM2020_175,2025-11-15,Sunny
176,175,56,cancelled,COM2020_176,2025-11-15,Cloudy
177,177,57,cancelled,COM2020_177,2025-11-15,Rain
178,177,58,cancelled,COM2020_178,2025-11-15,Sunny
179,179,59,cancelled,COM2020_179,2025-11-15,Cloudy
180,179,60,cancelled,COM2020_180,2025-11-15,Rain
181,181,31,cancelled,COM2020_181,2025-11-15,Sunny
182,181,32,cancelled,COM2020_182,2025-11-15,Cloudy
183,183,33,cancelled,COM2020_183,2025-11-15,Rain
184,183,34,cancelled,COM2020_184,2025-11-15,Sunny
185,185,35,cancelled,COM2020_185,2025-11-15,Cloudy
186,185,36,cancelled,COM2020_186,2025-11-15,Rain
187,187,37,cancelled,COM2020_187,2025-11-15,Sunny
188,187,38,cancelled,COM2020_188,2025-11-15,Cloudy
189,189,39,cancelled,COM2020_189,2025-11-15,Rain
190,189,40,cancelled,COM2020_190,2025-11-15,Sunny
191,191,41,cancelled,COM2020_191,2025-12-15,Cloudy
192,191,42,cancelled,COM2020_192,2025-12-15,Rain
193,193,43,cancelled,COM2020_193,2025-12-15,Sunny
194,193,44,cancelled,COM2020_194,2025-12-15,Cloudy
195,195,45,cancelled,COM2020_195,2025-12-15,Rain
196,195,46,cancelled,COM2020_196,2025-12-15,Sunny
197,197,47,cancelled,COM2020_197,2025-12-15,Cloudy
198,197,48,cancelled,COM2020_198,2025-12-15,Rain
199,199,49,cancelled,COM2020_199,2025-12-15,Sunny
200,199,50,cancelled,COM2020_200,2025-12-15,Cloudy
201,201,51,completed,COM2020_201,2025-12-15,Rain
202,201,52,completed,COM2020_202,2025-12-15,Sunny
203,203,53,completed,COM2020_203,2025-12-15,Cloudy
204,203,54,completed,COM2020_204,2025-12-15,Rain
205,205,55,completed,COM2020_205,2025-12-15,Sunny
206,205,56,completed,COM2020_206,2025-12-15,Cloudy
207,207,57,completed,COM2020_207,2025-12-15,Rain
208,207,58,completed,COM2020_208,2025-12-15,Sunny
209,209,59,completed,COM2020_209,2025-12-15,Cloudy
210,209,60,completed,COM2020_210,2025-12-15,Rain
211,211,31,completed,COM2020_211,2025-12-15,Sunny
212,211,32,completed,COM2020_212,2025-12-15,Cloudy
213,213,33,completed,COM2020_213,2025-12-15,Rain
214,213,34,completed,COM2020_214,2025-12-15,Sunny
215,215,35,completed,COM2020_215,2025-12-15,Cloudy
216,215,36,completed,COM2020_216,2025-12-15,Rain
217,217,37,completed,COM2020_217,2025-12-15,Sunny
218,217,38,completed,COM2020_218,2025-12-15,Cloudy
219,219,39,completed,COM2020_219,2025-12-15,Rain
220,219,40,completed,COM2020_220,2025-12-15,Sunny
221,221,41,completed,COM2020_221,2026-01-15,Cloudy
222,221,42,completed,COM2020_222,2026-01-15,Rain
223,223,43,completed,COM2020_223,2026-01-15,Sunny
224,223,44,completed,COM2020_224,2026-01-15,Cloudy
225,225,45,completed,COM2020_225,2026-01-15,Rain
226,225,46,completed,COM2020_226,2026-01-15,Sunny
227,227,47,completed,COM2020_227,2026-01-15,Cloudy
228,227,48,completed,COM2020_228,2026-01-15,Rain
229,229,49,completed,COM2020_229,2026-01-15,Sunny
230,229,50,completed,COM2020_230,2026-01-15,Cloudy
231,231,51,completed,COM2020_231,2026-01-15,Rain
232,231,52,completed,COM2020_232,2026-01-15,Sunny
233,233,53,completed,COM2020_233,2026-01-15,Cloudy
234,233,54,completed,COM2020_234,2026-01-15,Rain
235,235,55,completed,COM2020_235,2026-01-15,Sunny
236,235,56,completed,COM2020_236,2026-01-15,Cloudy
237,237,57,completed,COM2020_237,2026-01-15,Rain
238,237,58,completed,COM2020_238,2026-01-15,Sunny
239,239,59,completed,COM2020_239,2026-01-15,Cloudy
240,239,60,completed,COM2020_240,2026-01-15,Rain
241,241,31,completed,COM2020_241,2026-01-15,Sunny
242,241,32,completed,COM2020_242,2026-01-15,Cloudy
243,243,33,completed,COM2020_243,2026-01-15,Rain
244,243,34,completed,COM2020_244,2026-01-15,Sunny
245,245,35,completed,COM2020_245,2026-01-15,Cloudy
246,245,36,completed,COM2020_246,2026-01-15,Rain
247,247,37,completed,COM2020_247,2026-01-15,Sunny
248,247,38,completed,COM2020_248,2026-01-15,Cloudy
249,249,39,completed,COM2020_249,2026-01-15,Rain
250,249,40,completed,COM2020_250,2026-01-15,Sunny
251,251,41,completed,COM2020_251,2026-02-15,Cloudy
252,251,42,completed,COM2020_252,2026-02-15,Rain
253,253,43,completed,COM2020_253,2026-02-15,Sunny
254,253,44,completed,COM2020_254,2026-02-15,Cloudy
255,255,45,completed,COM2020_255,2026-02-15,Rain
256,255,46,completed,COM2020_256,2026-02-15,Sunny
257,257,47,completed,COM2020_257,2026-02-15,Cloudy
258,257,48,completed,COM2020_258,2026-02-15,Rain
259,259,49,completed,COM2020_259,2026-02-15,Sunny
260,259,50,completed,COM2020_260,2026-02-15,Cloudy
261,261,51,completed,COM2020_261,2026-02-15,Rain
262,261,52,completed,COM2020_262,2026-02-15,Sunny
263,263,53,completed,COM2020_263,2026-02-15,Cloudy
264,263,54,completed,COM2020_264,2026-02-15,Rain
265,265,55,completed,COM2020_265,2026-02-15,Sunny
266,265,56,completed,COM2020_266,2026-02-15,Cloudy
267,267,57,completed,COM2020_267,2026-02-15,Rain
268,267,58,completed,COM2020_268,2026-02-15,Sunny
269,269,59,completed,COM2020_269,2026-02-15,Cloudy
270,269,60,completed,COM2020_270,2026-02-15,Rain
271,271,31,completed,COM2020_271,2026-02-15,Sunny
272,271,32,completed,COM2020_272,2026-02-15,Cloudy
273,273,33,completed,COM2020_273,2026-02-15,Rain
274,273,34,completed,COM2020_274,2026-02-15,Sunny
275,275,35,completed,COM2020_275,2026-02-15,Cloudy
276,275,36,completed,COM2020_276,2026-02-15,Rain
277,277,37,completed,COM2020_277,2026-02-15,Sunny
278,277,38,completed,COM2020_278,2026-02-15,Cloudy
279,279,39,completed,COM2020_279,2026-02-15,Rain
280,279,40,completed,COM2020_280,2026-02-15,Sunny
281,281,41,completed,COM2020_281,2026-03-15,Cloudy
282,281,42,completed,COM2020_282,2026-03-15,Rain
283,283,43,completed,COM2020_283,2026-03-15,Sunny
284,283,44,completed,COM2020_284,2026-03-15,Cloudy
285,285,45,completed,COM2020_285,2026-03-15,Rain
286,285,46,completed,COM2020_286,2026-03-15,Sunny
287,287,47,completed,COM2020_287,2026-03-15,Cloudy
288,287,48,completed,COM2020_288,2026-03-15,Rain
289,289,49,completed,COM2020_289,2026-03-15,Sunny
290,289,50,completed,COM2020_290,2026-03-15,Cloudy
291,291,51,completed,COM2020_291,2026-03-15,Rain
292,291,52,completed,COM2020_292,2026-03-15,Sunny
293,293,53,completed,COM2020_293,2026-03-15,Cloudy
294,293,54,completed,COM2020_294,2026-03-15,Rain
295,295,55,completed,COM2020_295,2026-03-15,Sunny
296,295,56,completed,COM2020_296,2026-03-15,Cloudy
297,297,57,completed,COM2020_297,2026-03-15,Rain
298,297,58,completed,COM2020_298,2026-03-15,Sunny
299,299,59,completed,COM2020_299,2026-03-15,Cloudy
300,299,60,completed,COM2020_300,2026-03-15,Rain
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
